symbol,session,wallet,selected_at,entry_time,exit_trigger_time,exit_time,entry_price,exit_price,quantity,cost,proceeds,pnl_after_slippage,modeled_fees,net_pnl,exit_reason,stop_subtype,original_stop,buffered_stop,emergency_stop,atr,probability
SMCI,2026-07-10,1,2026-07-10T10:32:55-04:00,2026-07-10T10:33:10-04:00,2026-07-10T15:45:00-04:00,2026-07-10T15:45:10-04:00,28.360725,28.493587500000004,1.7630014747507337,50.0,50.234236,0.23423600000000278,0,0.23423600000000278,FORCE_EXIT,,28.27,28.198075,28.11345,0.28769999999999935,0.4571574514352971
FOXA,2026-07-10,2,2026-07-10T10:47:00-04:00,2026-07-10T10:47:15-04:00,2026-07-10T15:45:00-04:00,2026-07-10T15:45:10-04:00,54.937,53.795175,0.9101334255601872,50.0,48.960786,-1.0392140000000012,0,-1.0392140000000012,FORCE_EXIT,,54.63,54.558928571428574,54.408928571428575,0.2842857142857156,0.4501196516890543
CRWV,2026-07-10,3,2026-07-10T10:55:00-04:00,2026-07-10T10:55:15-04:00,2026-07-10T15:45:00-04:00,2026-07-10T15:45:10-04:00,89.97938749999999,88.7226375,0.5556828223575094,50.0,49.301645,-0.6983549999999994,0,-0.6983549999999994,FORCE_EXIT,,89.1298,88.90936785714285,88.61931785714285,0.8817285714285684,0.45016900507687124
ISRG,2026-07-13,1,2026-07-13T10:23:00-04:00,2026-07-13T10:23:15-04:00,2026-07-13T15:45:00-04:00,2026-07-13T15:45:10-04:00,410.1117225,407.02987500000006,0.12248914928297375,50.234236,49.856743,-0.3774930000000012,0,-0.3774930000000012,FORCE_EXIT,,408.49,407.8964027777778,406.9076527777778,2.3743888888888716,0.4503323790657179
AVAV,2026-07-14,4,2026-07-14T10:30:00-04:00,2026-07-14T10:30:20-04:00,2026-07-14T15:45:00-04:00,2026-07-14T15:45:10-04:00,144.791075,143.32080000000002,0.34532515212004605,50.0,49.492277,-0.5077229999999986,0,-0.5077229999999986,FORCE_EXIT,,143.8482,143.4410675,142.8256175,1.6285300000000007,0.46312148261432823
DG,2026-07-16,1,2026-07-16T10:45:00-04:00,2026-07-16T10:45:15-04:00,2026-07-16T14:10:10-04:00,2026-07-16T14:10:20-04:00,126.084425,127.4954625,0.3954234870801846,49.856743,50.4147,0.5579570000000018,0,0.5579570000000018,TAKE_PROFIT,,125.47,125.32288461538461,125.0928846153846,0.5884615384615345,0.45041329476974945
CDE,2026-07-17,3,2026-07-17T10:33:00-04:00,2026-07-17T10:33:15-04:00,2026-07-17T15:45:00-04:00,2026-07-17T15:45:10-04:00,14.250537499999998,14.330484000000002,3.4596340664343366,49.301645,49.57823,0.2765849999999972,0,0.2765849999999972,FORCE_EXIT,,14.17,14.13330909090909,14.07830909090909,0.14676363636363618,0.4502626921907651
MSTU,2026-07-20,1,2026-07-20T10:54:00-04:00,2026-07-20T10:54:15-04:00,2026-07-20T11:46:35-04:00,2026-07-20T11:46:45-04:00,18.997374999999998,20.249250000000004,2.6537719026970836,50.4147,53.73689,3.322189999999999,0,3.322189999999999,TAKE_PROFIT,,18.701,18.606517857142858,18.45701785714286,0.37792857142857195,0.45038104349045793
CELC,2026-07-20,3,2026-07-20T10:56:00-04:00,2026-07-20T10:56:15-04:00,2026-07-20T15:45:00-04:00,2026-07-20T15:45:10-04:00,90.1598375,88.408425,0.5498926281893531,49.57823,48.615141,-0.9630889999999965,0,-0.9630889999999965,FORCE_EXIT,,89.405,89.19705714285715,88.91330714285715,0.8317714285714308,0.450161831662951
CLS,2026-07-22,2,2026-07-22T10:30:00-04:00,2026-07-22T10:30:15-04:00,2026-07-22T15:45:00-04:00,2026-07-22T15:45:10-04:00,336.1583,336.25226250000003,0.14564800571635447,48.960786,48.974471,0.01368500000000239,0,0.01368500000000239,FORCE_EXIT,,332.64,331.846505,330.656505,3.1739799999999945,0.4594163398461593
BBAI,2026-07-22,6,2026-07-22T10:30:00-04:00,2026-07-22T10:30:15-04:00,2026-07-22T15:45:00-04:00,2026-07-22T15:45:10-04:00,2.9323124999999997,2.84516925,17.051388622460944,50.0,48.514086,-1.485914000000001,0,-1.485914000000001,FORCE_EXIT,,2.9,2.8913975,2.8801475,0.03441000000000005,0.4549978501903835
INTU,2026-07-22,1,2026-07-22T10:32:00-04:00,2026-07-22T10:32:15-04:00,2026-07-22T15:45:00-04:00,2026-07-22T15:45:10-04:00,291.416725,283.7289,0.18439878493590237,53.73689,52.319264,-1.4176260000000056,0,-1.4176260000000056,FORCE_EXIT,,290.06,289.4246636363636,288.59713863636364,2.5413454545454526,0.45040392810030333
DELL,2026-07-23,5,2026-07-23T11:17:00-04:00,2026-07-23T11:17:15-04:00,2026-07-23T15:45:00-04:00,2026-07-23T15:45:10-04:00,443.9471,436.21672500000005,0.11262603134472554,50.0,49.129358,-0.8706419999999966,0,-0.8706419999999966,FORCE_EXIT,,442.3601,441.3338607142857,439.67386071428575,4.104957142857144,0.45002030661243736
