symbol,session,wallet,selected_at,entry_time,exit_trigger_time,exit_time,entry_price,exit_price,quantity,cost,proceeds,pnl_after_slippage,modeled_fees,net_pnl,exit_reason,stop_subtype,original_stop,buffered_stop,emergency_stop,atr,probability
SMCI,2026-07-10,1,2026-07-10T10:32:55-04:00,2026-07-10T10:33:10-04:00,2026-07-10T15:45:00-04:00,2026-07-10T15:45:10-04:00,28.29,28.565,1.7674089784376106,50.0,50.486037,0.48603700000000316,0,0.48603700000000316,FORCE_EXIT,,28.27,28.198075,28.11345,0.28769999999999935,0.4571574514352971
FOXA,2026-07-10,2,2026-07-10T10:47:00-04:00,2026-07-10T10:47:15-04:00,2026-07-10T15:45:00-04:00,2026-07-10T15:45:10-04:00,54.8,53.93,0.9124087591240876,50.0,49.206204,-0.7937960000000004,0,-0.7937960000000004,FORCE_EXIT,,54.63,54.558928571428574,54.408928571428575,0.2842857142857156,0.4501196516890543
CRWV,2026-07-10,3,2026-07-10T10:55:00-04:00,2026-07-10T10:55:15-04:00,2026-07-10T15:45:00-04:00,2026-07-10T15:45:10-04:00,89.755,88.945,0.5570720294134032,50.0,49.548771,-0.4512289999999979,0,-0.4512289999999979,FORCE_EXIT,,89.1298,88.90936785714285,88.61931785714285,0.8817285714285684,0.45016900507687124
ISRG,2026-07-13,1,2026-07-13T10:23:00-04:00,2026-07-13T10:23:15-04:00,2026-07-13T15:45:00-04:00,2026-07-13T15:45:10-04:00,409.089,408.05,0.12341088858414673,50.486037,50.357813,-0.128224000000003,0,-0.128224000000003,FORCE_EXIT,,408.49,407.8964027777778,406.9076527777778,2.3743888888888716,0.4503323790657179
AMKR,2026-07-13,4,2026-07-13T10:58:10-04:00,2026-07-13T10:58:25-04:00,2026-07-13T15:45:00-04:00,2026-07-13T15:45:10-04:00,67.31,66.355,0.7428316743425939,50.0,49.290595,-0.7094049999999967,0,-0.7094049999999967,FORCE_EXIT,,66.0232,65.84393035714287,65.41723035714287,0.7170785714285698,0.4501991257369694
AVAV,2026-07-14,1,2026-07-14T10:30:00-04:00,2026-07-14T10:30:20-04:00,2026-07-14T15:45:00-04:00,2026-07-14T15:45:10-04:00,144.43,143.68,0.34866587966488954,50.357813,50.096313,-0.26149999999999807,0,-0.26149999999999807,FORCE_EXIT,,143.8482,143.4410675,142.8256175,1.6285300000000007,0.46312148261432823
DG,2026-07-16,3,2026-07-16T10:45:00-04:00,2026-07-16T10:45:15-04:00,2026-07-16T14:10:10-04:00,2026-07-16T14:10:20-04:00,125.77,127.815,0.39396335374095576,49.548771,50.354426,0.8056549999999945,0,0.8056549999999945,TAKE_PROFIT,,125.47,125.32288461538461,125.0928846153846,0.5884615384615345,0.45041329476974945
BOT,2026-07-17,3,2026-07-17T10:32:10-04:00,2026-07-17T10:32:25-04:00,2026-07-17T12:46:35-04:00,2026-07-17T12:46:45-04:00,28.23,29.265,1.7837203684024086,50.354426,52.200576,1.8461500000000015,0,1.8461500000000015,TAKE_PROFIT,,27.86,27.719974999999998,27.579949999999997,0.6519363636363635,0.4558507304737277
CDE,2026-07-17,4,2026-07-17T10:33:00-04:00,2026-07-17T10:33:15-04:00,2026-07-17T15:45:00-04:00,2026-07-17T15:45:10-04:00,14.215,14.3664,3.4675058037284563,49.290595,49.815575,0.5249799999999993,0,0.5249799999999993,FORCE_EXIT,,14.17,14.13330909090909,14.07830909090909,0.14676363636363618,0.4502626921907651
MSTU,2026-07-20,3,2026-07-20T10:54:00-04:00,2026-07-20T10:54:15-04:00,2026-07-20T11:46:35-04:00,2026-07-20T11:46:45-04:00,18.95,20.3,2.7546478100263854,52.200576,55.91935,3.7187740000000034,0,3.7187740000000034,TAKE_PROFIT,,18.701,18.606517857142858,18.45701785714286,0.37792857142857195,0.45038104349045793
CELC,2026-07-20,5,2026-07-20T10:56:00-04:00,2026-07-20T10:56:15-04:00,2026-07-20T15:45:00-04:00,2026-07-20T15:45:10-04:00,89.935,88.63,0.5559570801134153,50.0,49.274476,-0.7255240000000001,0,-0.7255240000000001,FORCE_EXIT,,89.405,89.19705714285715,88.91330714285715,0.8317714285714308,0.450161831662951
MSTU,2026-07-22,3,2026-07-22T10:14:05-04:00,2026-07-22T10:14:20-04:00,2026-07-22T15:45:00-04:00,2026-07-22T15:45:10-04:00,20.75,20.5,2.69490843373494,55.91935,55.245622,-0.6737280000000041,0,-0.6737280000000041,FORCE_EXIT,,20.4,20.29642857142857,20.17142857142857,0.4142857142857151,0.46004473295829257
