session,equity,profit
2026-07-10,9998.700278,-1.299721999999747
2026-07-13,9998.077039,-0.6232390000004671
2026-07-14,9997.322714,-0.7543249999998807
2026-07-15,9997.322714,0.0
2026-07-16,9997.322714,0.0
2026-07-17,9997.352438,0.029723999999987427
2026-07-20,10000.383288,3.03085000000101
2026-07-21,10000.383288,0.0
2026-07-22,9998.725841,-1.6574470000014117
2026-07-23,9997.578852999999,-1.1469880000004196
2026-07-24,9997.578852999999,0.0
2026-07-27,9997.578852999999,0.0
2026-07-28,9995.981398,-1.5974549999991723
2026-07-29,9995.981398,0.0
2026-07-30,9998.406733,2.4253349999999045
2026-07-31,9998.719953,0.31322000000000116
2026-08-03,9998.332309,-0.38764400000036403
2026-08-04,9998.332309,0.0
2026-08-05,9999.796457999999,1.464148999999452
2026-08-06,9998.559226,-1.2372319999994943
2026-08-07,9995.947357,-2.611869000000297
2026-08-10,9994.854679999999,-1.092677000000549
2026-08-11,9993.059750999999,-1.7949289999996836
2026-08-12,9993.059750999999,0.0
2026-08-13,9991.299839,-1.759911999999531
2026-08-14,9991.299839,0.0
2026-08-17,9991.299839,0.0
2026-08-18,9989.668641999999,-1.6311970000006113
2026-08-19,9989.668641999999,0.0
2026-08-20,9989.668641999999,0.0
2026-08-21,9989.668641999999,0.0
2026-08-24,9989.668641999999,0.0
2026-08-25,9989.668641999999,0.0
2026-08-26,9989.613307999998,-0.05533400000058464
2026-08-27,9989.613307999998,0.0
2026-08-28,9989.674597999998,0.06128999999964435
2026-08-31,9989.674597999998,0.0
2026-09-01,9989.674597999998,0.0
2026-09-02,9990.299234999999,0.6246370000008028
2026-09-03,9990.299234999999,0.0
2026-09-04,9990.299234999999,0.0
2026-09-08,9988.734394999998,-1.5648400000009133
2026-09-09,9986.841926999998,-1.892468000000008
