symbol,session,wallet,selected_at,entry_time,exit_trigger_time,exit_time,entry_price,exit_price,quantity,cost,proceeds,pnl_after_slippage,modeled_fees,net_pnl,exit_reason,stop_subtype,original_stop,buffered_stop,emergency_stop,atr,probability
FOXA,2026-07-10,2,2026-07-10T10:47:00-04:00,2026-07-10T10:47:15-04:00,2026-07-10T10:54:50-04:00,2026-07-10T10:55:00-04:00,54.8,54.55,0.9124087591240876,50.0,49.771897,-0.22810299999999728,0,-0.22810299999999728,STOP_LOSS,confirmed_buffered,54.63,54.558928571428574,54.408928571428575,0.2842857142857156,0.4501196516890543
CRWV,2026-07-10,2,2026-07-10T10:55:00-04:00,2026-07-10T10:55:15-04:00,2026-07-10T11:06:10-04:00,2026-07-10T11:06:20-04:00,89.755,88.6001,0.5545306333908975,49.771897,49.131469,-0.640428,0,-0.640428,STOP_LOSS,confirmed_buffered,89.1298,88.90936785714285,88.61931785714285,0.8817285714285684,0.45016900507687124
SMCI,2026-07-10,1,2026-07-10T10:32:55-04:00,2026-07-10T10:33:10-04:00,2026-07-10T15:45:00-04:00,2026-07-10T15:45:10-04:00,28.29,28.565,1.7674089784376106,50.0,50.486037,0.48603700000000316,0,0.48603700000000316,FORCE_EXIT,,28.27,28.198075,28.11345,0.28769999999999935,0.4571574514352971
ISRG,2026-07-13,1,2026-07-13T10:23:00-04:00,2026-07-13T10:23:15-04:00,2026-07-13T10:40:25-04:00,2026-07-13T10:40:35-04:00,409.089,407.955,0.12341088858414673,50.486037,50.346089,-0.13994800000000396,0,-0.13994800000000396,STOP_LOSS,confirmed_buffered,408.49,407.8964027777778,406.9076527777778,2.3743888888888716,0.4503323790657179
AMKR,2026-07-13,1,2026-07-13T10:58:10-04:00,2026-07-13T10:58:25-04:00,2026-07-13T12:34:30-04:00,2026-07-13T12:34:40-04:00,67.31,65.81,0.747973391769425,50.346089,49.224128,-1.1219609999999989,0,-1.1219609999999989,STOP_LOSS,confirmed_buffered,66.0232,65.84393035714287,65.41723035714287,0.7170785714285698,0.4501991257369694
AVAV,2026-07-14,3,2026-07-14T10:30:00-04:00,2026-07-14T10:30:20-04:00,2026-07-14T11:52:05-04:00,2026-07-14T11:52:15-04:00,144.43,143.405,0.34618846500034617,50.0,49.645156,-0.35484399999999994,0,-0.35484399999999994,STOP_LOSS,confirmed_buffered,143.8482,143.4410675,142.8256175,1.6285300000000007,0.46312148261432823
DG,2026-07-16,4,2026-07-16T10:45:00-04:00,2026-07-16T10:45:15-04:00,2026-07-16T10:48:25-04:00,2026-07-16T10:48:35-04:00,125.77,125.14,0.3975510853144629,50.0,49.749542,-0.25045800000000185,0,-0.25045800000000185,STOP_LOSS,confirmed_buffered,125.47,125.32288461538461,125.0928846153846,0.5884615384615345,0.45041329476974945
BOT,2026-07-17,4,2026-07-17T10:32:10-04:00,2026-07-17T10:32:25-04:00,2026-07-17T11:42:20-04:00,2026-07-17T11:42:30-04:00,28.23,27.27,1.7622933758413035,49.749542,48.05774,-1.6918019999999956,0,-1.6918019999999956,STOP_LOSS,emergency,27.86,27.719974999999998,27.579949999999997,0.6519363636363635,0.4558507304737277
CDE,2026-07-17,5,2026-07-17T10:33:00-04:00,2026-07-17T10:33:15-04:00,2026-07-17T15:45:00-04:00,2026-07-17T15:45:10-04:00,14.215,14.3664,3.5174111853675694,50.0,50.532536,0.5325360000000003,0,0.5325360000000003,FORCE_EXIT,,14.17,14.13330909090909,14.07830909090909,0.14676363636363618,0.4502626921907651
MSTU,2026-07-20,5,2026-07-20T10:54:00-04:00,2026-07-20T10:54:15-04:00,2026-07-20T11:46:35-04:00,2026-07-20T11:46:45-04:00,18.95,20.3,2.666624591029024,50.532536,54.132479,3.599942999999996,0,3.599942999999996,TAKE_PROFIT,,18.701,18.606517857142858,18.45701785714286,0.37792857142857195,0.45038104349045793
