session,equity,profit
2026-07-10,9999.168880000005,-0.8311199999952805
2026-07-13,9997.609981000007,-1.5588989999978367
2026-07-14,9997.105517000009,-0.5044639999978244
2026-07-15,9997.105517000009,0.0
2026-07-16,9996.70533500001,-0.40018199999940407
2026-07-17,9995.249266000012,-1.456068999998024
2026-07-20,9998.113924000016,2.864658000004056
2026-07-21,9998.113924000016,0.0
2026-07-22,9994.726222000023,-3.3877019999927143
2026-07-23,9994.822689000026,0.09646700000303099
2026-07-24,9994.330918000027,-0.49177099999906204
2026-07-27,9994.330918000027,0.0
2026-07-28,9993.501109000028,-0.8298089999989315
2026-07-29,9993.501109000028,0.0
2026-07-30,9992.404670000034,-1.096438999993552
2026-07-31,9992.404670000034,0.0
2026-08-03,9991.833799000035,-0.5708709999998973
2026-08-04,9991.833799000035,0.0
2026-08-05,9992.083713000038,0.24991400000362773
2026-08-06,9990.777247000042,-1.3064659999963624
2026-08-07,9990.225415000043,-0.5518319999991945
2026-08-10,9989.588645000045,-0.6367699999973411
2026-08-11,9988.32906500005,-1.2595799999944575
2026-08-12,9988.32906500005,0.0
2026-08-13,9987.125453000051,-1.2036119999993389
2026-08-14,9987.125453000051,0.0
2026-08-17,9986.693553000054,-0.43189999999776774
2026-08-18,9987.337978000058,0.6444250000040483
2026-08-19,9987.337978000058,0.0
2026-08-20,9987.337978000058,0.0
2026-08-21,9988.76067400006,1.4226960000014515
2026-08-24,9988.18477700006,-0.575896999998804
2026-08-25,9988.18477700006,0.0
2026-08-26,9987.808848000064,-0.37592899999617657
2026-08-27,9987.808848000064,0.0
2026-08-28,9989.097452000067,1.2886040000030334
2026-08-31,9989.827359000068,0.7299070000008214
2026-09-01,9989.827359000068,0.0
2026-09-02,9992.352932000076,2.5255730000080803
2026-09-03,9991.633894000079,-0.7190379999974539
2026-09-04,9991.00053100008,-0.633362999999008
2026-09-08,9990.155171000082,-0.8453599999975268
2026-09-09,9990.155171000082,0.0
