symbol,session,wallet,selected_at,entry_time,exit_trigger_time,exit_time,entry_price,exit_price,quantity,cost,proceeds,pnl_after_slippage,modeled_fees,net_pnl,exit_reason,stop_subtype,original_stop,buffered_stop,emergency_stop,atr,probability
FOXA,2026-07-10,2,2026-07-10T10:47:00-04:00,2026-07-10T10:47:15-04:00,2026-07-10T10:54:50-04:00,2026-07-10T10:55:00-04:00,54.937,54.413625,0.9101334255601872,50.0,49.523658,-0.4763420000000025,0,-0.4763420000000025,STOP_LOSS,confirmed_buffered,54.63,54.558928571428574,54.408928571428575,0.2842857142857156,0.4501196516890543
CRWV,2026-07-10,2,2026-07-10T10:55:00-04:00,2026-07-10T10:55:15-04:00,2026-07-10T11:06:10-04:00,2026-07-10T11:06:20-04:00,89.97938749999999,88.37859975,0.5503889210181611,49.523658,48.642602,-0.881056000000001,0,-0.881056000000001,STOP_LOSS,confirmed_buffered,89.1298,88.90936785714285,88.61931785714285,0.8817285714285684,0.45016900507687124
SMCI,2026-07-10,1,2026-07-10T10:32:55-04:00,2026-07-10T10:33:10-04:00,2026-07-10T15:45:00-04:00,2026-07-10T15:45:10-04:00,28.360725,28.493587500000004,1.7630014747507337,50.0,50.234236,0.23423600000000278,0,0.23423600000000278,FORCE_EXIT,,28.27,28.198075,28.11345,0.28769999999999935,0.4571574514352971
ISRG,2026-07-13,1,2026-07-13T10:23:00-04:00,2026-07-13T10:23:15-04:00,2026-07-13T10:40:25-04:00,2026-07-13T10:40:35-04:00,410.1117225,406.9351125,0.12248914928297375,50.234236,49.845135,-0.3891010000000037,0,-0.3891010000000037,STOP_LOSS,confirmed_buffered,408.49,407.8964027777778,406.9076527777778,2.3743888888888716,0.4503323790657179
AVAV,2026-07-14,3,2026-07-14T10:30:00-04:00,2026-07-14T10:30:20-04:00,2026-07-14T11:52:05-04:00,2026-07-14T11:52:15-04:00,144.791075,143.0464875,0.34532515212004605,50.0,49.39755,-0.6024499999999975,0,-0.6024499999999975,STOP_LOSS,confirmed_buffered,143.8482,143.4410675,142.8256175,1.6285300000000007,0.46312148261432823
DG,2026-07-16,1,2026-07-16T10:45:00-04:00,2026-07-16T10:45:15-04:00,2026-07-16T10:48:25-04:00,2026-07-16T10:48:35-04:00,126.084425,124.82715,0.39533142178345976,49.845135,49.348094,-0.49704099999999585,0,-0.49704099999999585,STOP_LOSS,confirmed_buffered,125.47,125.32288461538461,125.0928846153846,0.5884615384615345,0.45041329476974945
CDE,2026-07-17,5,2026-07-17T10:33:00-04:00,2026-07-17T10:33:15-04:00,2026-07-17T15:45:00-04:00,2026-07-17T15:45:10-04:00,14.250537499999998,14.330484000000002,3.508639586401566,50.0,50.280503,0.28050300000000306,0,0.28050300000000306,FORCE_EXIT,,14.17,14.13330909090909,14.07830909090909,0.14676363636363618,0.4502626921907651
MSTU,2026-07-20,5,2026-07-20T10:54:00-04:00,2026-07-20T10:54:15-04:00,2026-07-20T11:46:35-04:00,2026-07-20T11:46:45-04:00,18.997374999999998,20.249250000000004,2.6467079267530385,50.280503,53.59385,3.3133470000000003,0,3.3133470000000003,TAKE_PROFIT,,18.701,18.606517857142858,18.45701785714286,0.37792857142857195,0.45038104349045793
CELC,2026-07-20,4,2026-07-20T10:56:00-04:00,2026-07-20T10:56:15-04:00,2026-07-20T15:08:45-04:00,2026-07-20T15:08:55-04:00,90.1598375,88.94208750000001,0.554570653479716,50.0,49.324671,-0.6753289999999978,0,-0.6753289999999978,STOP_LOSS,confirmed_buffered,89.405,89.19705714285715,88.91330714285715,0.8317714285714308,0.450161831662951
INTU,2026-07-22,5,2026-07-22T10:32:00-04:00,2026-07-22T10:32:15-04:00,2026-07-22T10:41:30-04:00,2026-07-22T10:41:40-04:00,291.416725,288.4819875,0.18390794145394368,53.59385,53.054128,-0.5397220000000047,0,-0.5397220000000047,STOP_LOSS,confirmed_buffered,290.06,289.4246636363636,288.59713863636364,2.5413454545454526,0.45040392810030333
BBAI,2026-07-22,7,2026-07-22T10:30:00-04:00,2026-07-22T10:30:15-04:00,2026-07-22T11:56:55-04:00,2026-07-22T11:57:05-04:00,2.9323124999999997,2.882775,17.051388622460944,50.0,49.155316,-0.8446840000000009,0,-0.8446840000000009,STOP_LOSS,confirmed_buffered,2.9,2.8913975,2.8801475,0.03441000000000005,0.4549978501903835
CLS,2026-07-22,3,2026-07-22T10:30:00-04:00,2026-07-22T10:30:15-04:00,2026-07-22T15:45:00-04:00,2026-07-22T15:45:10-04:00,336.1583,336.25226250000003,0.1469472864421316,49.39755,49.411357,0.013806999999999903,0,0.013806999999999903,FORCE_EXIT,,332.64,331.846505,330.656505,3.1739799999999945,0.4594163398461593
DELL,2026-07-23,5,2026-07-23T11:17:00-04:00,2026-07-23T11:17:15-04:00,2026-07-23T11:22:55-04:00,2026-07-23T11:23:05-04:00,443.9471,440.486025,0.11950551766190161,53.054128,52.64051,-0.4136179999999996,0,-0.4136179999999996,STOP_LOSS,confirmed_buffered,442.3601,441.3338607142857,439.67386071428575,4.104957142857144,0.45002030661243736
VXX,2026-07-24,6,2026-07-24T10:30:00-04:00,2026-07-24T10:30:15-04:00,2026-07-24T10:58:55-04:00,2026-07-24T10:59:05-04:00,22.425925,22.16215575,2.2295624372238825,50.0,49.411909,-0.5880909999999986,0,-0.5880909999999986,STOP_LOSS,confirmed_buffered,22.26,22.220585,22.161160000000002,0.1576599999999999,0.45459428798020163
CEG,2026-07-28,6,2026-07-28T10:30:00-04:00,2026-07-28T10:30:15-04:00,2026-07-28T10:32:40-04:00,2026-07-28T10:32:50-04:00,262.384325,259.89862500000004,0.18831882964045205,49.411909,48.943804,-0.4681050000000013,0,-0.4681050000000013,STOP_LOSS,confirmed_buffered,261.3,260.698265,259.83939,2.406940000000003,0.4578761906773168
TSLQ,2026-07-28,3,2026-07-28T10:56:00-04:00,2026-07-28T10:56:15-04:00,2026-07-28T11:20:25-04:00,2026-07-28T11:20:35-04:00,28.430899999999998,28.1145375,1.7379455803368873,49.411357,48.861536,-0.5498210000000014,0,-0.5498210000000014,STOP_LOSS,confirmed_buffered,28.34,28.25742142857143,28.16739642857143,0.33031428571428556,0.450176901539062
FSLY,2026-07-30,4,2026-07-30T10:30:00-04:00,2026-07-30T10:30:15-04:00,2026-07-30T10:53:50-04:00,2026-07-30T10:54:00-04:00,21.042474999999996,20.832787500000002,2.3440527314396244,49.324671,48.833152,-0.4915190000000038,0,-0.4915190000000038,STOP_LOSS,confirmed_buffered,20.9817,20.9159,20.846325,0.26319999999999943,0.4580303453301434
TTMI,2026-07-30,7,2026-07-30T11:22:00-04:00,2026-07-30T11:22:15-04:00,2026-07-30T11:23:30-04:00,2026-07-30T11:23:40-04:00,114.22986249999998,113.2511625,0.4303193133932032,49.155316,48.734162,-0.42115400000000136,0,-0.42115400000000136,STOP_LOSS,confirmed_buffered,113.94,113.5811625,113.0674125,1.4353499999999986,0.45009170394896036
DDOG,2026-07-30,8,2026-07-30T10:30:00-04:00,2026-07-30T10:30:15-04:00,2026-07-30T12:34:10-04:00,2026-07-30T12:34:20-04:00,265.7026,263.31007500000004,0.1881803188978956,50.0,49.549773,-0.45022699999999816,0,-0.45022699999999816,STOP_LOSS,confirmed_buffered,265.405,264.7421025,263.9338775,2.651589999999999,0.4565928407234573
EL,2026-07-30,9,2026-07-30T10:57:00-04:00,2026-07-30T10:57:15-04:00,2026-07-30T15:45:00-04:00,2026-07-30T15:45:10-04:00,84.53079999999999,84.8224125,0.5915003761942393,50.0,50.172488,0.1724880000000013,0,0.1724880000000013,FORCE_EXIT,,84.11,83.99509107142858,83.83006607142858,0.4596357142857152,0.4501312720694982
MSFT,2026-07-31,9,2026-07-31T10:22:00-04:00,2026-07-31T10:22:15-04:00,2026-07-31T10:23:20-04:00,2026-07-31T10:23:30-04:00,456.2979,453.074475,0.10995555315946008,50.172488,49.818054,-0.3544340000000048,0,-0.3544340000000048,STOP_LOSS,confirmed_buffered,455.74,454.77944444444444,453.64944444444444,3.842222222222214,0.4502276231031873
DNTH,2026-08-03,10,2026-08-03T10:50:00-04:00,2026-08-03T10:50:15-04:00,2026-08-03T13:21:55-04:00,2026-08-03T13:22:05-04:00,104.971775,103.5754125,0.47631851514371365,50.0,49.334886,-0.6651140000000026,0,-0.6651140000000026,STOP_LOSS,emergency,104.265,104.03268035714285,103.65143035714286,0.9292785714285705,0.4502002434956613
MSTU,2026-08-05,8,2026-08-05T10:30:00-04:00,2026-08-05T10:30:15-04:00,2026-08-05T10:52:40-04:00,2026-08-05T10:52:50-04:00,18.9482525,18.703125,2.61500489293142,49.549773,48.908763,-0.6410100000000014,0,-0.6410100000000014,STOP_LOSS,emergency,18.9,18.825,18.75,0.3657,0.4614839007860657
ERAS,2026-08-06,9,2026-08-06T10:44:00-04:00,2026-08-06T10:44:15-04:00,2026-08-06T10:45:05-04:00,2026-08-06T10:45:15-04:00,18.66655,18.539634749999998,2.668841001684832,49.818054,49.479337,-0.3387169999999955,0,-0.3387169999999955,STOP_LOSS,confirmed_buffered,18.635,18.59280576923077,18.536555769230773,0.168776923076923,0.45031078618544373
CORZ,2026-08-06,11,2026-08-06T10:49:00-04:00,2026-08-06T10:49:15-04:00,2026-08-06T15:14:35-04:00,2026-08-06T15:14:45-04:00,21.303124999999998,20.997375,2.3470734927387418,50.0,49.282382,-0.7176180000000016,0,-0.7176180000000016,STOP_LOSS,confirmed_buffered,21.105,21.055716071428574,20.976966071428574,0.19713571428571416,0.45017580808946983
FSLY,2026-08-07,10,2026-08-07T10:30:00-04:00,2026-08-07T10:30:15-04:00,2026-08-07T10:32:50-04:00,2026-08-07T10:33:00-04:00,23.6239125,23.3165625,2.088345273036378,49.334886,48.693033,-0.6418529999999976,0,-0.6418529999999976,STOP_LOSS,confirmed_buffered,23.44,23.344170000000002,23.234170000000002,0.38332000000000016,0.4592796420487021
STX,2026-08-10,11,2026-08-10T10:59:00-04:00,2026-08-10T10:59:15-04:00,2026-08-10T15:45:00-04:00,2026-08-10T15:45:10-04:00,809.7894249999999,803.9401125,0.06085826818496673,49.282382,48.926402,-0.3559799999999953,0,-0.3559799999999953,FORCE_EXIT,,805.5601,803.2998053571429,800.9173053571428,9.041178571428556,0.45027269141351023
SPOT,2026-08-11,12,2026-08-11T10:30:00-04:00,2026-08-11T10:30:15-04:00,2026-08-11T10:31:00-04:00,2026-08-11T10:31:10-04:00,509.9366625,505.8123,0.09805139280410143,50.0,49.5956,-0.40440000000000254,0,-0.40440000000000254,STOP_LOSS,confirmed_buffered,508.16,507.47437,506.08187000000004,2.7425199999999905,0.45497071602803696
AEIS,2026-08-11,14,2026-08-11T10:53:00-04:00,2026-08-11T10:53:15-04:00,2026-08-11T11:09:20-04:00,2026-08-11T11:09:30-04:00,323.416525,318.491775,0.1545993977889658,50.0,49.238636,-0.7613640000000004,0,-0.7613640000000004,STOP_LOSS,confirmed_buffered,320.42,319.71524821428574,318.6177482142857,2.8190071428571377,0.4502353093726535
DKS,2026-08-11,13,2026-08-11T10:30:10-04:00,2026-08-11T10:30:25-04:00,2026-08-11T11:29:10-04:00,2026-08-11T11:29:20-04:00,206.725525,205.10595,0.2418666006532091,50.0,49.608278,-0.39172200000000146,0,-0.39172200000000146,STOP_LOSS,confirmed_buffered,206.23,205.80193409090907,205.07443409090908,1.7122636363636394,0.45314030528105137
BRBR,2026-08-13,13,2026-08-13T10:42:00-04:00,2026-08-13T10:42:15-04:00,2026-08-13T10:43:30-04:00,2026-08-13T10:43:40-04:00,10.96735,10.902675,4.523269340360251,49.608278,49.315735,-0.292543000000002,0,-0.292543000000002,STOP_LOSS,confirmed_buffered,10.96,10.939615384615385,10.904615384615385,0.08153846153846157,0.45039979131950497
ONDS,2026-08-13,12,2026-08-13T11:06:00-04:00,2026-08-13T11:06:15-04:00,2026-08-13T11:14:45-04:00,2026-08-13T11:14:55-04:00,9.1578375,9.07725,5.415645342036261,49.5956,49.159166,-0.43643399999999843,0,-0.43643399999999843,STOP_LOSS,confirmed_buffered,9.14,9.111830357142857,9.069330357142857,0.11267857142857121,0.45012582511461724
COKE,2026-08-17,14,2026-08-17T10:28:30-04:00,2026-08-17T10:28:45-04:00,2026-08-17T11:18:45-04:00,2026-08-17T11:18:55-04:00,187.38729999999998,185.4003375,0.2627639973466719,49.238636,48.716533,-0.5221030000000013,0,-0.5221030000000013,STOP_LOSS,emergency,186.5,186.25876,185.89138499999999,0.9649599999999964,0.4500217689569233
MSTR,2026-08-18,16,2026-08-18T11:21:00-04:00,2026-08-18T11:21:15-04:00,2026-08-18T13:57:25-04:00,2026-08-18T13:57:35-04:00,95.37785,93.93457500000001,0.5242307307199733,50.0,49.24339,-0.756610000000002,0,-0.756610000000002,STOP_LOSS,confirmed_buffered,94.4554,94.27251964285713,93.83386964285714,0.7315214285714303,0.45038007929331686
CRCL,2026-08-18,15,2026-08-18T11:19:00-04:00,2026-08-18T11:19:15-04:00,2026-08-18T15:45:00-04:00,2026-08-18T15:45:10-04:00,72.169975,72.15915000000001,0.6928088862438986,50.0,49.9925,-0.007500000000000284,0,-0.007500000000000284,FORCE_EXIT,,71.6,71.43320357142856,71.08945357142856,0.6671857142857159,0.45036354632730025
CIFR,2026-08-26,18,2026-08-26T10:33:00-04:00,2026-08-26T10:33:15-04:00,2026-08-26T10:55:00-04:00,2026-08-26T10:55:10-04:00,16.050025,15.865237500000001,3.115259945077967,50.0,49.424338,-0.5756620000000012,0,-0.5756620000000012,STOP_LOSS,confirmed_buffered,15.945,15.894193181818181,15.83294318181818,0.20322727272727306,0.45005142648451446
DXYZ,2026-08-26,15,2026-08-26T10:23:00-04:00,2026-08-26T10:23:15-04:00,2026-08-26T11:22:05-04:00,2026-08-26T11:22:15-04:00,34.1702125,33.825224999999996,1.463043286605256,49.9925,49.487768,-0.5047319999999971,0,-0.5047319999999971,STOP_LOSS,confirmed_buffered,34.1,34.0175,33.935,0.4661888888888883,0.45032627841254236
EXTR,2026-08-26,16,2026-08-26T10:25:00-04:00,2026-08-26T10:25:15-04:00,2026-08-26T15:45:00-04:00,2026-08-26T15:45:10-04:00,22.651487499999998,22.84275,2.1739583327585,49.24339,49.659186,0.4157960000000003,0,0.4157960000000003,FORCE_EXIT,,22.555,22.525666666666666,22.474416666666666,0.11733333333333344,0.45037980690170276
SOXS,2026-08-28,17,2026-08-28T10:44:00-04:00,2026-08-28T10:44:15-04:00,2026-08-28T11:45:10-04:00,2026-08-28T11:45:20-04:00,46.61625,48.149325000000005,1.0725873488322204,50.0,51.644356,1.644356000000002,0,1.644356000000002,TAKE_PROFIT,,46.36,46.214084615384614,46.024084615384616,0.5836615384615386,0.45001357404404896
