symbol,session,wallet,selected_at,entry_time,exit_trigger_time,exit_time,entry_price,exit_price,quantity,cost,proceeds,pnl_after_slippage,modeled_fees,net_pnl,exit_reason,stop_subtype,original_stop,buffered_stop,emergency_stop,atr,probability
CELC,2026-07-20,6,2026-07-20T10:56:00-04:00,2026-07-20T10:56:15-04:00,2026-07-20T15:08:45-04:00,2026-07-20T15:08:55-04:00,89.9799675,89.12041750000002,0.5556792404931686,50.0,49.522365,-0.47763499999999937,0,-0.47763499999999937,STOP_LOSS,confirmed_buffered,89.405,89.19705714285715,88.91330714285715,0.8317714285714308,0.450161831662951
MSTU,2026-07-22,5,2026-07-22T10:14:05-04:00,2026-07-22T10:14:20-04:00,2026-07-22T10:23:05-04:00,2026-07-22T10:23:15-04:00,20.760375,20.28985,2.602280594642438,54.024321,52.799882,-1.2244390000000038,0,-1.2244390000000038,STOP_LOSS,confirmed_buffered,20.4,20.29642857142857,20.17142857142857,0.4142857142857151,0.46004473295829257
INTU,2026-07-22,7,2026-07-22T10:32:00-04:00,2026-07-22T10:32:15-04:00,2026-07-22T10:41:30-04:00,2026-07-22T10:41:40-04:00,290.83534499999996,289.0603975,0.1719185816290658,50.0,49.694853,-0.30514699999999806,0,-0.30514699999999806,STOP_LOSS,confirmed_buffered,290.06,289.4246636363636,288.59713863636364,2.5413454545454526,0.45040392810030333
BBAI,2026-07-22,8,2026-07-22T10:30:00-04:00,2026-07-22T10:30:15-04:00,2026-07-22T11:56:55-04:00,2026-07-22T11:57:05-04:00,2.9264624999999995,2.888555,17.085474356838677,50.0,49.352332,-0.647668000000003,0,-0.647668000000003,STOP_LOSS,confirmed_buffered,2.9,2.8913975,2.8801475,0.03441000000000005,0.4549978501903835
CIEN,2026-07-22,5,2026-07-22T10:30:00-04:00,2026-07-22T10:30:15-04:00,2026-07-22T13:22:00-04:00,2026-07-22T13:22:10-04:00,406.26803249999995,400.9544225,0.12996317154242257,52.799882,52.109308,-0.690573999999998,0,-0.690573999999998,STOP_LOSS,confirmed_buffered,401.99,401.07113,399.55863,3.675479999999999,0.46039616789748194
TTMI,2026-07-22,3,2026-07-22T10:30:00-04:00,2026-07-22T10:30:15-04:00,2026-07-22T15:45:00-04:00,2026-07-22T15:45:10-04:00,146.8784025,146.48672000000002,0.3376639121602647,49.595536,49.463278,-0.1322580000000002,0,-0.1322580000000002,FORCE_EXIT,,145.28,144.9623625,144.41986250000002,1.270550000000003,0.4602460935375678
CLS,2026-07-22,6,2026-07-22T10:30:00-04:00,2026-07-22T10:30:15-04:00,2026-07-22T15:45:00-04:00,2026-07-22T15:45:10-04:00,335.48765999999995,336.92645250000004,0.14761307465079343,49.522365,49.734749,0.21238400000000013,0,0.21238400000000013,FORCE_EXIT,,332.64,331.846505,330.656505,3.1739799999999945,0.4594163398461593
DELL,2026-07-23,7,2026-07-23T11:17:00-04:00,2026-07-23T11:17:15-04:00,2026-07-23T11:22:55-04:00,2026-07-23T11:23:05-04:00,443.06141999999994,441.369205,0.11216244691311648,49.694853,49.50505,-0.18980300000000483,0,-0.18980300000000483,STOP_LOSS,confirmed_buffered,442.3601,441.3338607142857,439.67386071428575,4.104957142857144,0.45002030661243736
FROG,2026-07-23,6,2026-07-23T11:15:00-04:00,2026-07-23T11:15:15-04:00,2026-07-23T15:45:00-04:00,2026-07-23T15:45:10-04:00,80.2250925,81.009475,0.6199400642635594,49.734749,50.221019,0.48626999999999754,0,0.48626999999999754,FORCE_EXIT,,79.0,78.85000178571428,78.44750178571428,0.5999928571428583,0.45022304745093117
VXX,2026-07-24,6,2026-07-24T10:30:00-04:00,2026-07-24T10:30:15-04:00,2026-07-24T10:58:55-04:00,2026-07-24T10:59:05-04:00,22.381185,22.20659115,2.2438945480321975,50.221019,49.829248,-0.39177099999999854,0,-0.39177099999999854,STOP_LOSS,confirmed_buffered,22.26,22.220585,22.161160000000002,0.1576599999999999,0.45459428798020163
CEG,2026-07-28,8,2026-07-28T10:30:00-04:00,2026-07-28T10:30:15-04:00,2026-07-28T10:32:40-04:00,2026-07-28T10:32:50-04:00,261.860865,260.419725,0.18846776512404784,49.352332,49.080723,-0.271608999999998,0,-0.271608999999998,STOP_LOSS,confirmed_buffered,261.3,260.698265,259.83939,2.406940000000003,0.4578761906773168
TSLQ,2026-07-28,9,2026-07-28T10:56:00-04:00,2026-07-28T10:56:15-04:00,2026-07-28T11:20:25-04:00,2026-07-28T11:20:35-04:00,28.37418,28.170907500000002,1.762165461697924,50.0,49.6418,-0.3581999999999965,0,-0.3581999999999965,STOP_LOSS,confirmed_buffered,28.34,28.25742142857143,28.16739642857143,0.33031428571428556,0.450176901539062
FIX,2026-07-30,12,2026-07-30T10:30:00-04:00,2026-07-30T10:30:15-04:00,2026-07-30T10:36:00-04:00,2026-07-30T10:36:10-04:00,1703.23119,1684.7472050000001,0.029355967817850964,50.0,49.457384,-0.5426160000000024,0,-0.5426160000000024,STOP_LOSS,confirmed_buffered,1691.46,1686.910075,1681.910075,18.19969999999996,0.45611856630120035
FSLY,2026-07-30,9,2026-07-30T10:30:00-04:00,2026-07-30T10:30:15-04:00,2026-07-30T10:53:50-04:00,2026-07-30T10:54:00-04:00,21.000494999999997,20.8745575,2.363839519020862,49.6418,49.344103,-0.29769700000000654,0,-0.29769700000000654,STOP_LOSS,confirmed_buffered,20.9817,20.9159,20.846325,0.26319999999999943,0.4580303453301434
TTMI,2026-07-30,11,2026-07-30T11:22:00-04:00,2026-07-30T11:22:15-04:00,2026-07-30T11:23:30-04:00,2026-07-30T11:23:40-04:00,114.0019725,113.4782325,0.4385889024858759,50.0,49.770293,-0.22970699999999766,0,-0.22970699999999766,STOP_LOSS,confirmed_buffered,113.94,113.5811625,113.0674125,1.4353499999999986,0.45009170394896036
EL,2026-07-30,10,2026-07-30T10:57:00-04:00,2026-07-30T10:57:15-04:00,2026-07-30T15:45:00-04:00,2026-07-30T15:45:10-04:00,84.36215999999999,84.99248250000001,0.592682785741854,50.0,50.373581,0.3735810000000015,0,0.3735810000000015,FORCE_EXIT,,84.11,83.99509107142858,83.83006607142858,0.4596357142857152,0.4501312720694982
DNTH,2026-08-03,10,2026-08-03T10:50:00-04:00,2026-08-03T10:50:15-04:00,2026-08-03T13:21:55-04:00,2026-08-03T13:22:05-04:00,104.76235499999999,103.7830825,0.4808366612224401,50.373581,49.90271,-0.4708710000000025,0,-0.4708710000000025,STOP_LOSS,emergency,104.265,104.03268035714285,103.65143035714286,0.9292785714285705,0.4502002434956613
MSTU,2026-08-05,11,2026-08-05T10:30:00-04:00,2026-08-05T10:30:15-04:00,2026-08-05T10:52:40-04:00,2026-08-05T10:52:50-04:00,18.9104505,18.740625,2.631893565941224,49.770293,49.32333,-0.4469630000000038,0,-0.4469630000000038,STOP_LOSS,emergency,18.9,18.825,18.75,0.3657,0.4614839007860657
CVS,2026-08-05,12,2026-08-05T10:30:00-04:00,2026-08-05T10:30:15-04:00,2026-08-05T14:10:25-04:00,2026-08-05T14:10:35-04:00,97.8539025,99.840055,0.5054206601520056,49.457384,50.461226,1.003842000000006,0,1.003842000000006,TAKE_PROFIT,,97.25,97.037,96.77575,0.8520000000000024,0.45468370019815624
CDE,2026-08-05,13,2026-08-05T11:02:00-04:00,2026-08-05T11:02:15-04:00,2026-08-05T15:45:00-04:00,2026-08-05T15:45:10-04:00,17.428710000000002,17.4262825,2.86882964946918,50.0,49.993035,-0.006965000000000998,0,-0.006965000000000998,FORCE_EXIT,,17.24,17.20496071428571,17.13871071428571,0.1401571428571433,0.4502105551929359
AMBA,2026-08-06,13,2026-08-06T11:01:00-04:00,2026-08-06T11:01:15-04:00,2026-08-06T12:16:10-04:00,2026-08-06T12:16:20-04:00,84.82989375,83.84305750000001,0.5893327551173551,49.993035,49.41146,-0.5815750000000008,0,-0.5815750000000008,STOP_LOSS,confirmed_buffered,84.15,83.96339464285715,83.72589464285716,0.7464214285714306,0.4503927728489817
CORZ,2026-08-06,12,2026-08-06T10:49:00-04:00,2026-08-06T10:49:15-04:00,2026-08-06T15:14:35-04:00,2026-08-06T15:14:45-04:00,21.260624999999997,21.039475000000003,2.373459199811859,50.461226,49.936335,-0.5248910000000038,0,-0.5248910000000038,STOP_LOSS,confirmed_buffered,21.105,21.055716071428574,20.976966071428574,0.19713571428571416,0.45017580808946983
FSLY,2026-08-07,10,2026-08-07T10:30:00-04:00,2026-08-07T10:30:15-04:00,2026-08-07T10:32:50-04:00,2026-08-07T10:33:00-04:00,23.5767825,23.363312500000003,2.1166039089515287,49.90271,49.450878,-0.451831999999996,0,-0.451831999999996,STOP_LOSS,confirmed_buffered,23.44,23.344170000000002,23.234170000000002,0.38332000000000016,0.4592796420487021
ANET,2026-08-10,14,2026-08-10T10:30:00-04:00,2026-08-10T10:30:15-04:00,2026-08-10T15:45:00-04:00,2026-08-10T15:45:10-04:00,192.4811925,191.42424000000003,0.25976563918056567,50.0,49.72544,-0.274560000000001,0,-0.274560000000001,FORCE_EXIT,,189.915,189.39518999999999,188.47393999999997,2.0792400000000013,0.4540948139965216
STX,2026-08-10,15,2026-08-10T10:59:00-04:00,2026-08-10T10:59:15-04:00,2026-08-10T15:45:00-04:00,2026-08-10T15:45:10-04:00,808.1738849999999,805.5520225000001,0.061867873892015215,50.0,49.83779,-0.16221000000000174,0,-0.16221000000000174,FORCE_EXIT,,805.5601,803.2998053571429,800.9173053571428,9.041178571428556,0.45027269141351023
SPOT,2026-08-11,16,2026-08-11T10:30:00-04:00,2026-08-11T10:30:15-04:00,2026-08-11T10:31:00-04:00,2026-08-11T10:31:10-04:00,508.9193325,506.82646,0.09824739758731803,50.0,49.79438,-0.20562000000000324,0,-0.20562000000000324,STOP_LOSS,confirmed_buffered,508.16,507.47437,506.08187000000004,2.7425199999999905,0.45497071602803696
AEIS,2026-08-11,16,2026-08-11T10:53:00-04:00,2026-08-11T10:53:15-04:00,2026-08-11T11:09:20-04:00,2026-08-11T11:09:30-04:00,322.771305,319.13035500000007,0.15427139658526956,49.79438,49.232685,-0.5616950000000003,0,-0.5616950000000003,STOP_LOSS,confirmed_buffered,320.42,319.71524821428574,318.6177482142857,2.8190071428571377,0.4502353093726535
DKS,2026-08-11,15,2026-08-11T10:30:10-04:00,2026-08-11T10:30:25-04:00,2026-08-11T11:29:10-04:00,2026-08-11T11:29:20-04:00,206.313105,205.51719000000003,0.2415638599399684,49.83779,49.645525,-0.19226499999999902,0,-0.19226499999999902,STOP_LOSS,confirmed_buffered,206.23,205.80193409090907,205.07443409090908,1.7122636363636394,0.45314030528105137
MSTU,2026-08-13,14,2026-08-13T11:00:00-04:00,2026-08-13T11:00:15-04:00,2026-08-13T11:23:40-04:00,2026-08-13T11:23:50-04:00,18.9104505,18.490750000000002,2.6295217028277564,49.72544,48.621828,-1.1036119999999983,0,-1.1036119999999983,STOP_LOSS,confirmed_buffered,18.701,18.628125,18.553375000000003,0.2914999999999997,0.4501851033658329
COKE,2026-08-17,17,2026-08-17T10:28:30-04:00,2026-08-17T10:28:45-04:00,2026-08-17T11:18:45-04:00,2026-08-17T11:18:55-04:00,187.01345999999998,185.77206750000002,0.26736043491201117,50.0,49.6681,-0.3318999999999974,0,-0.3318999999999974,STOP_LOSS,emergency,186.5,186.25876,185.89138499999999,0.9649599999999964,0.4500217689569233
FRVO,2026-08-18,18,2026-08-18T10:30:00-04:00,2026-08-18T10:30:15-04:00,2026-08-18T13:15:10-04:00,2026-08-18T13:15:20-04:00,18.349169999999997,18.83067995,2.7249188927891566,50.0,51.312075,1.312075,0,1.312075,TAKE_PROFIT,,18.175,18.109545,18.040770000000002,0.26181999999999983,0.4544950661071394
MSTR,2026-08-18,19,2026-08-18T11:21:00-04:00,2026-08-18T11:21:15-04:00,2026-08-18T13:57:25-04:00,2026-08-18T13:57:35-04:00,95.18757,94.122915,0.5252786682126669,50.0,49.440759,-0.5592410000000001,0,-0.5592410000000001,STOP_LOSS,confirmed_buffered,94.4554,94.27251964285713,93.83386964285714,0.7315214285714303,0.45038007929331686
CRCL,2026-08-18,17,2026-08-18T11:19:00-04:00,2026-08-18T11:19:15-04:00,2026-08-18T15:45:00-04:00,2026-08-18T15:45:10-04:00,72.025995,72.30383,0.6895857530326378,49.6681,49.859691,0.1915909999999954,0,0.1915909999999954,FORCE_EXIT,,71.6,71.43320357142856,71.08945357142856,0.6671857142857159,0.45036354632730025
FLY,2026-08-21,18,2026-08-21T10:30:00-04:00,2026-08-21T10:30:15-04:00,2026-08-21T11:57:10-04:00,2026-08-21T11:57:20-04:00,24.11205,24.82758,2.128067708884147,51.312075,52.834771,1.5226960000000034,0,1.5226960000000034,TAKE_PROFIT,,23.81,23.7469225,23.6393725,0.25231000000000064,0.46437853611181773
