session,equity,profit
2026-07-10,9998.876838,-1.1231619999998657
2026-07-13,9998.487737,-0.3891010000006645
2026-07-14,9997.885287,-0.6024500000003172
2026-07-15,9997.885287,0.0
2026-07-16,9997.388246,-0.49704099999871687
2026-07-17,9997.668749,0.2805029999999533
2026-07-20,10000.306767,2.638017999999647
2026-07-21,10000.306767,0.0
2026-07-22,9998.936168,-1.3705989999998565
2026-07-23,9998.52255,-0.413618000000497
2026-07-24,9997.934459,-0.588090999999622
2026-07-27,9997.934459,0.0
2026-07-28,9996.916533000001,-1.0179259999986243
2026-07-29,9996.916533000001,0.0
2026-07-30,9995.726121000002,-1.1904119999999239
2026-07-31,9995.371687,-0.3544340000007651
2026-08-03,9994.706573000001,-0.6651139999994484
2026-08-04,9994.706573000001,0.0
2026-08-05,9994.065563,-0.641010000001188
2026-08-06,9993.009228,-1.056334999999308
2026-08-07,9992.367375,-0.6418530000009923
2026-08-10,9992.011395,-0.3559800000002724
2026-08-11,9990.453909,-1.5574859999996988
2026-08-12,9990.453909,0.0
2026-08-13,9989.724932,-0.7289770000006683
2026-08-14,9989.724932,0.0
2026-08-17,9989.202829,-0.5221029999993334
2026-08-18,9988.438719,-0.7641100000000733
2026-08-19,9988.438719,0.0
2026-08-20,9988.438719,0.0
2026-08-21,9988.438719,0.0
2026-08-24,9988.438719,0.0
2026-08-25,9988.438719,0.0
2026-08-26,9987.774121,-0.664597999999387
2026-08-27,9987.774121,0.0
2026-08-28,9988.840876,1.06675499999983
2026-08-31,9989.450141000001,0.6092650000009598
2026-09-01,9989.450141000001,0.0
2026-09-02,9992.770321,3.3201799999987998
2026-09-03,9992.052024,-0.7182969999994384
2026-09-04,9991.291825,-0.7601990000002843
2026-09-08,9990.340957,-0.9508679999999003
2026-09-09,9989.965544,-0.3754129999997531
