session,equity,profit
2026-07-10,9999.87469,-0.1253099999994447
2026-07-13,9990.984885000002,-8.889804999998887
2026-07-14,9990.186518000002,-0.7983669999994163
2026-07-15,9982.466206,-7.720312000003105
2026-07-16,9973.133526,-9.332679999999527
2026-07-17,9982.581024000001,9.44749800000136
2026-07-20,9985.892928000001,3.3119040000001405
2026-07-21,9992.782928,6.889999999999418
2026-07-22,9990.774684000002,-2.00824399999874
2026-07-23,9987.963321000001,-2.8113630000007106
2026-07-24,9985.746038000001,-2.217282999999952
2026-07-27,9985.869875000002,0.12383700000100362
2026-07-28,9984.308607000003,-1.5612679999994725
2026-07-29,9987.349392000002,3.0407849999992322
2026-07-30,9991.356726000002,4.007333999999901
2026-07-31,9992.185647000002,0.828921000000264
2026-08-03,10011.394231000002,19.208583999999973
2026-08-04,10015.463641000002,4.069410000000062
2026-08-05,10018.509436000002,3.0457949999999983
2026-08-06,10011.266033000004,-7.24340299999858
2026-08-07,10012.619694000005,1.3536610000010114
2026-08-10,10010.332378000003,-2.287316000001738
2026-08-11,10008.085061000003,-2.2473169999993843
2026-08-12,10008.994078000003,0.9090169999999489
2026-08-13,10003.551769000002,-5.442309000001842
2026-08-14,10008.074002000001,4.522232999999687
2026-08-17,10010.623008000002,2.5490060000011
2026-08-18,10005.483827000004,-5.1391809999986435
2026-08-19,10006.831122000003,1.3472949999995762
2026-08-20,10007.207547000004,0.37642500000038126
2026-08-21,10005.337633000003,-1.86991400000079
2026-08-24,10004.858593000004,-0.47903999999834923
2026-08-25,10004.788215000004,-0.07037800000034622
2026-08-26,10007.307175000004,2.5189599999994243
2026-08-27,10009.001069000004,1.6938940000000002
2026-08-28,10008.316573000004,-0.6844959999998537
2026-08-31,10007.351935000004,-0.9646379999994679
2026-09-01,10007.597826000005,0.24589100000048347
2026-09-02,10012.972100000005,5.374273999999787
2026-09-03,10013.528253000004,0.55615299999954
2026-09-04,10012.790579000004,-0.73767399999997
2026-09-08,10010.718833000004,-2.071745999999621
2026-09-09,10003.495822000003,-7.223011000001861
