symbol,session_date,selected_at,entry_time,exit_time,exit_reason,net_pnl,won,entry_minutes,signal_minutes,stop_risk_pct,first15_range_pct,breakout_pct,c2_range_pct,c2_body_pct,c2_relative_volume,c3_body_pct,c3_close_position,stock_history_bars,stock_above_vwap,stock_vwap_distance_pct,stock_ema9_over_ema20_pct,stock_ema9_slope_pct,stock_rsi14,stock_macd_hist_pct,stock_atr14_pct,stock_return_15m_pct,stock_return_30m_pct,stock_latest_relative_volume,spy_history_bars,spy_above_vwap,spy_vwap_distance_pct,spy_ema9_over_ema20_pct,spy_ema9_slope_pct,spy_rsi14,spy_macd_hist_pct,spy_atr14_pct,spy_return_15m_pct,spy_return_30m_pct,spy_latest_relative_volume
TTMI,2026-07-22,2026-07-22T10:30:00-04:00,2026-07-22T10:30:15-04:00,2026-07-22T15:45:10-04:00,FORCE_EXIT,-0.1333359999999999,0,60.0,25.0,1.471685317056621,4.1465149359886295,0.7443829816294498,1.3474494706448368,0.8603052385535666,1.7032081462303497,0.04747371990506721,0.08139534883723312,6.0,1.0,1.2702679010773346,0.21220517338654643,0.46320190567357683,81.0769230769235,0.1254287961934458,1.4794491142443988,1.3883161512027562,0,1.0856813616443364,0.0,0.0,0,0,0,50,0,0,0,0,0
RDDT,2026-07-23,2026-07-23T10:07:00-04:00,2026-07-23T10:07:15-04:00,2026-07-23T15:45:10-04:00,FORCE_EXIT,-2.1022589999999965,0,37.0,25.0,0.9811666302979157,4.5853716037013035,0.28317836010143577,1.5794895272976943,0.8670024035710282,1.5967306585429342,0.25514504925567355,0.5379051701044629,6.0,1.0,1.573150998898714,0.37076036768771503,0.6142873791466054,91.03928090800585,0.18654098784432685,1.4413490491376444,0.9659574468085029,0,1.125737726531822,0.0,0.0,0,0,0,50,0,0,0,0,0
VXX,2026-07-24,2026-07-24T10:30:00-04:00,2026-07-24T10:30:15-04:00,2026-07-24T15:45:10-04:00,FORCE_EXIT,-0.027645999999997173,0,60.0,25.0,1.0565524475835162,0.8928571428571557,0.007522123893803499,1.2118491921005365,1.1220825852782765,2.5843724576692004,0.3186992448116913,1.0,6.0,1.0,0.6298474763465703,0.05950294934318509,0.09847869459884101,64.47602131438742,0.04285943924896267,0.6703035612365434,0.6308993766696356,0,0.9317235049070844,0.0,0.0,0,0,0,50,0,0,0,0,0
CEG,2026-07-28,2026-07-28T10:30:00-04:00,2026-07-28T10:30:15-04:00,2026-07-28T15:45:10-04:00,FORCE_EXIT,-0.4641110000000026,0,60.0,25.0,1.2977103561856986,2.782844944692419,0.007552299675244245,1.116903873963012,0.44809346221173957,0.7788278341541903,0.015071646983494363,0.12829957028848613,6.0,1.0,1.2503332487878593,0.2688616614560496,0.6931183725802627,69.31388438681776,0.15597268272717896,1.285650455621005,1.3935681470137775,0,0.4834063286297322,0.0,0.0,0,0,0,50,0,0,0,0,0
FIX,2026-07-30,2026-07-30T10:30:00-04:00,2026-07-30T10:30:15-04:00,2026-07-30T15:45:10-04:00,FORCE_EXIT,-0.26548700000000025,0,60.0,25.0,1.1685928972923703,3.1795776973277263,0.12161132090842759,1.0593843799658644,0.9628626920134263,0.8258639677211461,0.378624098722729,0.716951788491454,6.0,1.0,1.215100475395145,0.4686115018447726,0.8437529413446356,92.10919736793983,0.23939683560914413,1.4455738428993137,1.362850469354273,0,1.3469541472883848,0.0,0.0,0,0,0,50,0,0,0,0,0
FSLY,2026-07-30,2026-07-30T10:30:00-04:00,2026-07-30T10:30:15-04:00,2026-07-30T15:23:55-04:00,TAKE_PROFIT,1.8894850000000005,1,60.0,25.0,1.3090310442144946,3.0420086914533995,0.28116213683223396,1.1853959222380275,0.995732574679947,1.622104755727993,0.5174035747883322,0.9333333333333222,6.0,1.0,1.3719160963116916,0.16142856320130478,0.4191649845958014,65.52863436123351,0.11152850313136714,1.476246105918999,1.3257575757575641,0,0.7307555886579812,0.0,0.0,0,0,0,50,0,0,0,0,0
CDE,2026-08-05,2026-08-05T10:30:00-04:00,2026-08-05T10:30:15-04:00,2026-08-05T15:45:10-04:00,FORCE_EXIT,-0.03564699999999732,0,60.0,45.0,1.513853184804345,3.6838978015448665,0.37249283667622507,1.0368663594470031,0.8064516129032291,2.494288965833239,0.0291345329905874,0.11904761904763818,10.0,1.0,1.721439284378903,0.6584088010962562,0.9383671943118924,81.9672131147541,0.29379016309043987,1.1127604910077107,1.5656712090460978,2.5468384074941586,1.3660162518007768,0.0,0.0,0,0,0,50,0,0,0,0,0
CVS,2026-08-05,2026-08-05T10:30:00-04:00,2026-08-05T10:30:15-04:00,2026-08-05T14:10:35-04:00,TAKE_PROFIT,1.0148560000000018,1,60.0,25.0,1.0631263034742373,5.026737967914442,0.5957230142566128,1.0019425416624106,0.6338820161537722,0.8224932674326222,0.17803550536649593,0.8305084745762578,6.0,1.0,2.0310638704424226,0.8416071874167935,1.1097981675605533,96.05929342934283,0.37116665660746095,1.3546253648495934,0.6673793260171933,0,0.4793342518391369,0.0,0.0,0,0,0,50,0,0,0,0,0
MSTU,2026-08-05,2026-08-05T10:30:00-04:00,2026-08-05T10:30:15-04:00,2026-08-05T15:30:50-04:00,TAKE_PROFIT,1.9294209999999978,1,60.0,25.0,1.5625000000000038,4.0992448759439135,0.2797927461139818,2.1052631578947296,0.4842105263158015,1.2936499689474796,0.5416666666666625,0.38693467336683424,6.0,1.0,1.5164470116340885,0.7723221078155518,1.1084728978198888,100,0.3538267924783363,2.1597602562777682,1.46264744429882,0,1.011592694223222,0.0,0.0,0,0,0,50,0,0,0,0,0
AXTI,2026-08-05,2026-08-05T10:30:35-04:00,2026-08-05T10:31:05-04:00,2026-08-05T15:45:10-04:00,FORCE_EXIT,-2.8084559999999996,0,60.0,55.0,0.5322778763477557,18.674121405750807,0.05370843989768303,2.0994475138121493,0.36367403314917257,0.3975259196532798,1.4465674901050896,0.5386491843268765,12.0,1.0,2.4867304529235197,1.231646191779518,0.20895055127896572,70.50667733706787,0.14125641831876054,3.5990115238506553,1.3221101417666243,-2.2489479221462534,0.5865713059394276,0.0,0.0,0,0,0,50,0,0,0,0,0
ERAS,2026-08-06,2026-08-06T10:30:00-04:00,2026-08-06T10:30:15-04:00,2026-08-06T15:45:10-04:00,FORCE_EXIT,-0.8664150000000035,0,60.0,35.0,1.1930010604453758,2.836879432624131,0.6312997347480093,1.5532940546330964,1.1783610069630552,3.4680406436211975,0.10074231177095389,0.9083333333333405,8.0,1.0,1.3428530605218827,0.4536160420207038,0.7628720637854526,86.78077203204691,0.21809188058436382,1.0856529073751917,1.7104557640750813,1.7104557640750813,0.7599345600616397,0.0,0.0,0,0,0,50,0,0,0,0,0
FSLY,2026-08-07,2026-08-07T10:30:00-04:00,2026-08-07T10:30:15-04:00,2026-08-07T15:45:10-04:00,FORCE_EXIT,-2.159047000000001,0,60.0,30.0,1.8425460636515818,5.060773480662982,1.304164913756831,1.4394580863674846,1.1867061812023727,1.2371564711799858,0.628140703517582,0.3401360544217669,7.0,1.0,2.0893895173530725,1.2116839716009995,1.5503427305242643,99.98361193051463,0.5098360758168673,1.989143331751306,2.445852176761637,5.336832895888009,2.497485124415671,0.0,0.0,0,0,0,50,0,0,0,0,0
BOT,2026-08-07,2026-08-07T10:31:20-04:00,2026-08-07T10:32:35-04:00,2026-08-07T11:37:55-04:00,TAKE_PROFIT,1.957683000000003,1,61.0,50.0,2.335492669621544,3.920171062009984,1.6803840877914897,2.233077459874391,1.988834612700629,7.78511573868287,0.971701329696557,0.8650986753176513,11.0,1.0,2.5778189044447037,0.3522891873021539,0.9965863822046175,75.07331378299124,0.24616920791384536,1.1696458684654285,3.4542916957431906,3.3101045296167224,5.1010456445352395,0.0,0.0,0,0,0,50,0,0,0,0,0
ANET,2026-08-10,2026-08-10T10:30:00-04:00,2026-08-10T10:30:15-04:00,2026-08-10T15:45:10-04:00,FORCE_EXIT,-0.274560000000001,0,60.0,35.0,1.9034090909090922,3.3256696786611766,0.9055627425614489,1.1584824923028747,1.0358503365861218,1.8050965241050154,0.7128099173553696,0.9150326797385652,8.0,1.0,1.9657124685600615,0.4048134972440609,0.9990120024293762,69.81132075471696,0.25151497975515824,1.2565705128205122,2.678865266899233,4.037453483253969,1.2768398977873794,0.0,0.0,0,0,0,50,0,0,0,0,0
SKHY,2026-08-10,2026-08-10T10:30:00-04:00,2026-08-10T10:30:15-04:00,2026-08-10T15:45:10-04:00,FORCE_EXIT,-0.37491500000000144,0,60.0,40.0,1.204032784507142,2.3756330056598136,0.5055648505128342,1.1342846688620438,0.8755945847054626,1.5826388310687955,0.20308986726626616,0.24380165289255004,9.0,1.0,1.1778416972787709,0.431575751045536,0.6320490343210942,80.95238095238086,0.1909923216815999,1.2460785614623393,1.2642919964819659,1.554575523704506,1.5599069872724372,0.0,0.0,0,0,0,50,0,0,0,0,0
STX,2026-08-10,2026-08-10T10:30:00-04:00,2026-08-10T10:30:15-04:00,2026-08-10T15:45:10-04:00,FORCE_EXIT,-0.3870059999999995,0,60.0,40.0,1.1691958962573552,4.290076335877866,0.1491362904406344,1.357050013339185,0.7299540660157794,1.9207132264099438,0.6014672488354393,0.4957602351565876,9.0,1.0,1.5149700349188995,0.5460864822608935,0.6909251322573428,85.30983353378068,0.22940426869419514,1.6467806481236154,1.6143705904196088,2.020989710195363,1.3527205978115957,0.0,0.0,0,0,0,50,0,0,0,0,0
